ProjectId,FMSID,Benchmark (Y/N),DivisionName,UnitName,ProjectDescription,Scope,WebScope,Borough,ClientAgencyCode,Sponsor,PhaseName,ProjectType,Priority,DesignContractType,ConstructionContractType,SourceSystem,MultipleFMSIds,BenchmarkStatus,DesignFiscalYear,ConstructionFiscalYear,CreatedDate,ManageAgency
HWQ724B,SEQ200519,Y,Infrastructure,S. QUEENS,Brookville Blvd and Edgewood Triangle (SEQ200519),"Project Limit / locations:

Reconstruction of Streets - Brookville Boulevard Area

1.     Bentley Road between 235th Street and Brookville Boulevard. 
2.     Brookville Boulevard between Newhall Avenue and Dead-End south of 149th Avenue. 
3.     Edgewood Street between 147th Avenue and Brookville Boulevard.
4.    146th Avenue between Brookville Boulevard and Edgewood Street.      
5.    147th Avenue between 230th Place & 200'  east of Edgewood Street. 
6.    147th Drive between 235th Street and Brookville Boulevard to 241st Street.
7.    147th Road between 235th Street and  Brookville Blvd. to 241st Street.
8.    148th Avenue between 235th Street and Brookville Boulevard to 241st Street.
9.    148th Drive between 235th Street and Brookville Boulevard to 241st Street.       
10.  148th Road between 235th Street and Brookville Boulevard to 241st  Street.
11.  149th Avenue between  Brookville Boulevard and  241st Street.   
12.  235th Street  between 147th Avenue and 148th  Avenue. 
13.  235th Street between Bentley Rd. and DE SO Bentley Rd.        
14.  236th Street between  Bentley Road and 148th Drive.
15.  240th Street between 147th Avenue and 147th Road.
16.  232nd Street between 147th Ave. and Dead End.
17.  231st Street between 145th Ave. and 146th Ave.
18.  231st Street between 148th Ave. & Dead End.
19.  148th Ave. between 231st Street and Brookville Park","Reconstruct roadway and extend storm and sanitary sewers in portions of Brookville Boulevard, Edgewood Street, 147th Avenue, and adjacent streets west of 241st Street.",Queens,,Transportation,Final Design,Street Reconstruction,Standard,Standard Consultant,Standard Consultant,PIMS,TRUE,,,2019,,DDC
HWQ787B3,HWQ787B3,Y,Infrastructure,S. QUEENS,"SUTTER AVE, ETC - PHASE V (B3)",142nd Street from 135th Avenue to North Conduit Avenue,"Roadway reconstruction, Sutter Avenue and vicinity including 142nd Street from 135th Avenue to North Conduit Avenue.",Queens,,Transportation,Construction Procurement,Street Reconstruction,Standard,In-House,Requirements TO,PIMS,FALSE,,,2015,,DDC
HWQ788,HWQ788,Y,Infrastructure,BRONX & N. QUEENS,RECON 11TH ST: 44TH DRIVE TO JACKSON AVE,"Long Island City/Hunters Point Area-wide Reconstruction:
Bounded by 44th Drive, Jackson Ave, Borden Ave and 5th Street, Borough of Queens","Long Island City/Hunters Point Area-wide Reconstruction:
Bounded by 44th Drive, Jackson Ave, Borden Ave and 5th Street, Borough of Queens",Queens,,Transportation,Schematic Design,Street Reconstruction,Standard,Standard Consultant,Requirements TO,PIMS,FALSE,,2015,,,DDC
HWQ985,HWQ985,Y,Infrastructure,BRONX & N. QUEENS,SHORE ROAD RECONSTRUCTION,"Engineered resurfacing of Shore Road from West Drive to 36th Ave in Douglas Manor, Douglaston, Queens.","Engineered resurfacing of Shore Road from West Drive to 36th Ave in Douglas Manor, Douglaston, Queens.",Queens,,Transportation,Construction 50-75%,Street Reconstruction,Standard,Requirements TO,Requirements TO,PIMS,FALSE,,2010,2015,,DDC
HWQF027C,HWQF027C,Y,Public Buildings,Transportation,"Construction of New Diesel Station, Harper St. Yd.","Phase 1:Construction of a new diesel fueling station plus installation of an exhaust capture system, upgrades to electrical equipment, floor leveling and roof replacement.  Buildings 4,5, and yard. 
Phase 2: Asphalt Plant Electrical upgrade and new Block House.","Construction of a new diesel fueling station plus installation of an exhaust capture system, upgrades to electrical equipment, floor leveling and roof replacement.
",,,Transportation,Construction 75%-Subst.,Renovation,,Requirements TO,DDC Managed,PIMS,FALSE,,,,,DDC
HWR005B1,HWR005B1,Y,Infrastructure,Staten Island,TODT HILL ROAD - CIRCLE ROAD (SER200285),"Intersection improvement of Todt Hill Road and Circle Road and Installation of new storm sewer and water main replasement in Todt Hill Road between willow Pond RD and Four Corners Rd 
Sataten Island","Implement measures to improve traffic flow: Intersection of Todt Hill and Circle Roads.




",Staten Is.,,Transportation,Pre-Design/PrgDevelopment,Street Reconstruction,Standard,Requirements TO,Requirements TO,PIMS,FALSE,,,,,DDC
HWR100PAD,HWR100PAD,Y,Infrastructure,STATEN ISLAND,HYLAN BLVD SBS BUS PADS,HYLAN BOULEVARD BUS PADS FOR SELECT BUS SERVICES,HYLAN BOULEVARD BUS PADS FOR SELECT BUS SERVICES,Staten Is.,,Transportation,Construction 75%-Subst.,Street Reconstruction,Standard,Requirements TO,Requirements TO,PIMS,FALSE,,2014,2016,,DDC
HWR1132B,HWR1132B,Y,Infrastructure,Staten Island,Reconstruction of South Beach Area (SE-793),"Reconstruction of the following streets in South Beach area, including street grading, installation of new storm sewers and the replacement of existing sanitary sewers and water mains as required.
1- McClean Ave b/t Norway Ave & Hickory Ave. 
2- Foch Ave. b/t Norway Ave & Hickory Ave. 
3- Olympia Blvd. b/t Quintard St.& Hickory Ave. 
4- Cameron Ave b/t Norway Ave & Quintard Street.
5- Scott Ave b/t Norway Ave & Quintard Street
 6- Appleby Ave b/t Norway Ave & Quintard Street.
7- Nugent Ave b/t Norway Ave & Quintard St. 8- Norway Ave b/t McClean Ave & Olympia Blvd.
9- Mallory Ave b/t McClean Ave & Olympia Blvd. 
10- Lamport Blvd b/t McClean Ave & Olympia Blvd.
11- Kensington Ave b/t McClean Ave & Olympia Blvd. 
12- Jerome Ave b/t McClean Ave & Olympia Blvd. 
13- Bionia Ave b/t McClean Ave & Olympia Blvd. 
14- Vulcan St. b/t Nugent Ave & Olympia Blvd.
15- Winfield St. b/t Nugent Ave & Olympia Blvd.
16. Patterson b/t Quintard Street & Vulcan Street.","Roadway reconstruction including new storm and sanitary sewers, and water main: South Beach area defined by McClean Avenue to the north, Olympia Boulevard to the south and Hickory Avenue and Quintard Street to the east and west.",Staten Is.,,Trans. & Env. Protection,Construction 25-50%,Street Reconstruction,Standard,Standard Consultant,DDC Managed Consultant,PIMS,TRUE,,,2017,,DDC
HWR1132B,SE-793,Y,Infrastructure,Staten Island,Reconstruction of South Beach Area (SE-793),"Reconstruction of the following streets in South Beach area, including street grading, installation of new storm sewers and the replacement of existing sanitary sewers and water mains as required.
1- McClean Ave b/t Norway Ave & Hickory Ave. 
2- Foch Ave. b/t Norway Ave & Hickory Ave. 
3- Olympia Blvd. b/t Quintard St.& Hickory Ave. 
4- Cameron Ave b/t Norway Ave & Quintard Street.
5- Scott Ave b/t Norway Ave & Quintard Street
 6- Appleby Ave b/t Norway Ave & Quintard Street.
7- Nugent Ave b/t Norway Ave & Quintard St. 8- Norway Ave b/t McClean Ave & Olympia Blvd.
9- Mallory Ave b/t McClean Ave & Olympia Blvd. 
10- Lamport Blvd b/t McClean Ave & Olympia Blvd.
11- Kensington Ave b/t McClean Ave & Olympia Blvd. 
12- Jerome Ave b/t McClean Ave & Olympia Blvd. 
13- Bionia Ave b/t McClean Ave & Olympia Blvd. 
14- Vulcan St. b/t Nugent Ave & Olympia Blvd.
15- Winfield St. b/t Nugent Ave & Olympia Blvd.
16. Patterson b/t Quintard Street & Vulcan Street.","Roadway reconstruction including new storm and sanitary sewers, and water main: South Beach area defined by McClean Avenue to the north, Olympia Boulevard to the south and Hickory Avenue and Quintard Street to the east and west.",Staten Is.,,Trans. & Env. Protection,Construction 25-50%,Street Reconstruction,Standard,Standard Consultant,DDC Managed Consultant,PIMS,TRUE,,,2017,,DDC
HWR1140A,HWR1140A,Y,Infrastructure,Staten Island,"Reconstruction of Arthur Kill Road, Phase I",HWR1140A: Reconstruction of Arthur Kill Rd from Clark Avenue to Richmond Avenue including widening of roadway,Reconstruction of Arthur Kill Rd from Clark Avenue to Richmond Avenue including widening of roadway,Staten Is.,,Transportation,Schematic Design,Street Reconstruction,Mayoral Initiative,In-House/Consultant,Standard Consultant,PIMS,TRUE,,,2024,,DDC
HWR1140A,RED-366,Y,Infrastructure,Staten Island,"Reconstruction of Arthur Kill Road, Phase I",HWR1140A: Reconstruction of Arthur Kill Rd from Clark Avenue to Richmond Avenue including widening of roadway,Reconstruction of Arthur Kill Rd from Clark Avenue to Richmond Avenue including widening of roadway,Staten Is.,,Transportation,Schematic Design,Street Reconstruction,Mayoral Initiative,In-House/Consultant,Standard Consultant,PIMS,TRUE,,,2024,,DDC
HWR200-01,HWR200-01,Y,Infrastructure,STATEN ISLAND,"BLOOMINGDALE PARKS SIDEWALKS, SI","BLOOMINGDALE PARKS SIDEWALKS, SI","BLOOMINGDALE PARKS SIDEWALKS, SI",Staten Is.,,Transportation,Cancelled Project,Sidewalks,Standard,,,PIMS,TRUE,,2014,2017,,DDC
HWR300-03,HWR300-03,Y,Infrastructure,STATEN ISLAND,ROAD IMPROVEMENT AT SOUTH AVENUE AND FOREST AVENUE,Road Improvement at South Avenue and Forest Avenue Intersection . Borough of Staten Island,Proposed improvement is 300SY 2 the intersection of Sout avenue and Forest Avenue. Borough of Staten Island,Staten Is.,,Transportation,Construction 0-25%,Street Reconstruction,Standard,In-House/Consultant,DDC Managed/Consultant,PIMS,FALSE,,2014,2016,,DDC
HWR669C,HWR669C,Y,Infrastructure,Staten Island,"ROMA & HETT AVENUE, STATEN IS (W/SE-413A/SE-414A)","Installation of Storm, Sanitary Sewers in the following Streets:
=================================
1- Cedar Grove Avenue between Ebbitts Street and new Dorp Lane.
2- Milton Avenue between Ebbitts Street and new Dorp Lane.
3- Finley Avenue between Ebbitts Street and new Dorp Lane.
4- Roma Avenue between Ebbitts Street and new Dorp Lane.
5- Hett Avenue between Ebbitts Street and new Dorp Lane.
6- Marine Way between Cedar Grove and Milton Avenue
7- Beacon Avenue between Roma Avenue and Milton Avenue.
8- Dustan Avenue between Marine way and Milton Avenue.
9- Garibaldi Avenue between Roma Avenue and Cedar Grove Avenue.
10- Cedar Grove Court between Cedar Grove Avenue and Dustan Street.
11- Topping Street between Cedar Grove Avenue and Dustan Street.
12- Center Way between Cedar Grove Avenue and Dustan Street.
13- Neptune Street between Cedar Grove Avenue and Dustan Street.
14- Seafoam Street between Cedar Grove Avenue and Dustan Street.
15- Waterside Street between Cedar Grove Avenue and Dustan Street.
16- Maple Terrace between Cedar Grove Avenue and Dustan Street.
17- Herman Street between Cedar Grove Avenue and Dustan Street.
18- Neutral Avenue between Cedar Grove Avenue and Dustan Street.
19- Milbank Drive between Cedar Grove Avenue and Dustan Street.","Install storm and sanitary sewers at multiple locations.
",Staten Is.,,Trans. & Env. Protection,Final Design,Street Reconstruction,Standard,Requirements TO,DDC Managed/Consultant,PIMS,TRUE,,2017,2018,,DDC
HWR919,SER200241,Y,Infrastructure,STATEN ISLAND,RECONSTRUCTION OF BLOOMINGDALE ROAD (SER200241),"Total reconstruction of Bloomingdale Road from Arthur Kill Road and Amboy Road, including installation of Storm & Sanitary sewers, watermains and widening of the roadway at various locations within the project limits.  Staten Island","Total reconstruction of Bloomingdale Road from Arthur Kill Road and Amboy Road, including installation of Storm & Sanitary sewers, watermains and widening of the roadway at various locations within the project limits.  Staten Island",Staten Is.,,Transportation,Design Development,Street Reconstruction,Standard,Standard Consultant,Standard Consultant,PIMS,TRUE,,2015,2017,,DDC
HWR669C,SE-413A,Y,Infrastructure,Staten Island,"ROMA & HETT AVENUE, STATEN IS (W/SE-413A/SE-414A)","Installation of Storm, Sanitary Sewers in the following Streets:
=================================
1- Cedar Grove Avenue between Ebbitts Street and new Dorp Lane.
2- Milton Avenue between Ebbitts Street and new Dorp Lane.
3- Finley Avenue between Ebbitts Street and new Dorp Lane.
4- Roma Avenue between Ebbitts Street and new Dorp Lane.
5- Hett Avenue between Ebbitts Street and new Dorp Lane.
6- Marine Way between Cedar Grove and Milton Avenue
7- Beacon Avenue between Roma Avenue and Milton Avenue.
8- Dustan Avenue between Marine way and Milton Avenue.
9- Garibaldi Avenue between Roma Avenue and Cedar Grove Avenue.
10- Cedar Grove Court between Cedar Grove Avenue and Dustan Street.
11- Topping Street between Cedar Grove Avenue and Dustan Street.
12- Center Way between Cedar Grove Avenue and Dustan Street.
13- Neptune Street between Cedar Grove Avenue and Dustan Street.
14- Seafoam Street between Cedar Grove Avenue and Dustan Street.
15- Waterside Street between Cedar Grove Avenue and Dustan Street.
16- Maple Terrace between Cedar Grove Avenue and Dustan Street.
17- Herman Street between Cedar Grove Avenue and Dustan Street.
18- Neutral Avenue between Cedar Grove Avenue and Dustan Street.
19- Milbank Drive between Cedar Grove Avenue and Dustan Street.","Install storm and sanitary sewers at multiple locations.
",Staten Is.,,Trans. & Env. Protection,Final Design,Street Reconstruction,Standard,Requirements TO,DDC Managed/Consultant,PIMS,TRUE,,2017,2018,,DDC
HWR703,HWR703   ,Y,Infrastructure,STATEN ISLAND,BAY STREET AREA SAFETY IMPROVEMENT,"In 2016, EDC in collaboration with DCP and the other City agencies released the North Shore Transportation
Improvement Strategy report with recommendations for transportation improvements in the neighborhoods.
This project will enhance pedestrian safety through safety and streetscape improvements to the medians and/or sidewalks and crosswalks around some of the congested intersections (listed above) within Vision Zero Priority Area of Bay Street area corridor.

The project scope of work includes median extensions, street trees (where feasible),
sidewalks/curbs extensions, crossing distance(s) reductions and Wayfinding signs
installations within expanded sidewalks.",,,,Transportation,Scope Development,Street Reconstruction,Standard,In-House/Consultant,DDC Managed,Project Info,FALSE,,,,2017-10-10 13:00:21.1100000 +00:00,
HWR890,HWR890,Y,Infrastructure,STATEN ISLAND,RECONSTRUCTION OF WOODROW ROAD,RECONSTRUCTION OF WOODROW ROAD,RECONSTRUCTION OF WOODROW ROAD,Staten Is.,,Transportation,On-Hold,Street Reconstruction,Standard,In-House,Requirements TO,PIMS,FALSE,,,2018,,DOT
HWR919,HWR919,Y,Infrastructure,STATEN ISLAND,RECONSTRUCTION OF BLOOMINGDALE ROAD (SER200241),"Total reconstruction of Bloomingdale Road from Arthur Kill Road and Amboy Road, including installation of Storm & Sanitary sewers, watermains and widening of the roadway at various locations within the project limits.  Staten Island","Total reconstruction of Bloomingdale Road from Arthur Kill Road and Amboy Road, including installation of Storm & Sanitary sewers, watermains and widening of the roadway at various locations within the project limits.  Staten Island",Staten Is.,,Transportation,Design Development,Street Reconstruction,Standard,Standard Consultant,Standard Consultant,PIMS,TRUE,,2015,2017,,DDC
HWRC054-R,HWRC054-R,Y,Infrastructure,STATEN ISLAND,HYLAN BOULEVARD INTERSECTION IMPROVEMENT (RE-BID),"HYLAN BOULEVARD INTERSECTION IMPROVEMENTS
at the following location:

(1) HYLAN BLVD. BETWEEN TARLEE PLACE  AND WHITMAN AVENUE   (Cleveland Avenue Intersection);

(2)  HYLAN BLVD. BETWEEN WATERSIDE PARKWAY AND FAIRLAWN AVENUE (Fieldway Avenue Inersection); 

(3) & (4)  HYLAN BLVD. BETWEEN HOPKINS AVENUE AND MONTREAL AVENUE  (Buffalo Street & Chesterton Avenue Intersection).","HYLAN BOULEVARD INTERSECTION IMPROVEMENTS at the following location:
Cleveland Avenue Intersection; Fieldway Avenue Intersection; Buffalo Street Intersection & Chesterton Avenue Intersection.",Staten Is.,,Transportation,Acceptance/Final Completion,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,FALSE,,2011,2012,,DDC
HWRC055,HWRC055,Y,Infrastructure,STATEN ISLAND,HYLAN BOULEVARD AT NEW DORP LANE,"HYLAN BOULEVARD INTERSECTION IMPROVEMENTS:

Hylan Boulevard at New Dorp Lane.",IMPROVEMENTS OF THE INTERSECTION OF HYLAN BOULEVARD @ NEW DORP LANE,Staten Is.,,Transportation,Pre-Design/PrgDevelopment,Street Resurfacing,Standard,In-House,DDC Managed,PIMS,FALSE,,2015,2017,,DDC
HWRF05R,HWRF05R,Y,Public Buildings,TRANSPORTATION,"Replacement of  roof , sprinkler & related repairs",Roof replacement and related repairs caused by water damage. Replace wet sprinkler system with dry system.,Roof replacement and related repairs caused by water damage. Replace wet sprinkler system with dry system.,Staten Is.,,Transportation,Design Development,Renovation,Standard,Requirement Contract,,PIMS,FALSE,,,,,DDC
HWS16CW1,HWS16CW1,Y,Infrastructure,BRONX & N. QUEENS,PRIOR NOTICE SIDEWALKS - CITYWIDE,PRIOR NOTICE SIDEWALKS - CITYWIDE (BROOKLYN & QUEENS),PRIOR NOTICE SIDEWALKS - CITYWIDE (BROOKLYN & QUEENS),Citywide,,Transportation,Construction 0-25%,Sidewalks,Critical,In-House,Requirements TO,PIMS,FALSE,,2016,2017,,DDC
HWS16CW2,HWS16CW2,Y,Infrastructure,BRONX & N. QUEENS,"PRIOR NOTICE SIDEWALKS - CITYWIDE (BX, MN & SI)","PRIOR NOTICE SIDEWALKS - CITYWIDE (BRONX, MANHATTAN & STATEN ISLAND)","PRIOR NOTICE SIDEWALKS - CITYWIDE (BRONX, MANHATTAN & STATEN ISLAND)",Citywide,,Transportation,Construction 0-25%,Sidewalks,Critical,In-House,Requirement Contract,PIMS,FALSE,,2016,2017,,DDC
HWS16XCW2,HWS16XCW2,Y,Infrastructure,MANHATTAN & CITYWIDE,PRIOR NOTICE SIDEWALKS - MANHATTAN & STATEN ISLAND,"PRIOR NOTICE SIDEWALKS - BRONX, MANHATTAN & STATEN ISLAND","PRIOR NOTICE SIDEWALKS - BRONX, MANHATTAN & STATEN ISLAND",,,Transportation,,New Construction,Critical,,,PIMS,FALSE,,,,,
HWS17CW1,HWS17CW1,Y,Infrastructure,BROOKLYN,PRIOR NOTICE SIDEWALKS FY17 - CITYWIDE (BK & QU),PRIOR NOTICE SIDEWALKS FY17 - CITYWIDE (BK & QU),PRIOR NOTICE SIDEWALKS FY17 - CITYWIDE (BK & QU),Citywide,,Transportation,Construction Procurement,Sidewalks,Critical,Requirements TO,Requirements TO,PIMS,FALSE,,2017,2017,,DDC
HWS17CW2,HWS17CW2,Y,Infrastructure,STATEN ISLAND,"PRIOR NOTICE SIDEWALKS FY17 - CITYWIDE (BX,MN,SI)","PRIOR NOTICE SIDEWALKS FY17 - CITYWIDE (BX,MN,SI)","PRIOR NOTICE SIDEWALKS FY17 - CITYWIDE (BX,MN,SI)",Citywide,,Transportation,Cancelled Project,Sidewalks,Standard,,,PIMS,FALSE,,,,,DDC
HWS18CW1,HWS18CW1,Y,Infrastructure,MANHATTAN & CITYWIDE,PRIOR NOTICE SIDEWALKS CITYWIDE,"PRIOR NOTICE SIDEWALKS, CITYWIDE","PRIOR NOTICE SIDEWALKS, CITYWIDE",Citywide,,Transportation,Design Development,Sidewalks,Critical,In-House,Requirements TO,PIMS,FALSE,,2017,2018,,DDC
HWS18CW2,HWS18CW2,Y,Infrastructure,MANHATTAN & CITYWIDE,PRIOR NOTICE SIDEWALKS CITYWIDE,"PRIOR NOTICE SIDEWALKS, CITYWIDE","PRIOR NOTICE SIDEWALKS, CITYWIDE",Citywide,,Transportation,Design Development,Sidewalks,Critical,In-House,Requirements TO,PIMS,FALSE,,2017,2018,,DDC
HWS2011R,HWS2011R,Y,Infrastructure,STATEN ISLAND,PRIOR NOTICE SIDEWALKS - STATEN ISLAND,"Replacement of Sidewalks that have violations for which property owners have received prior notices.
NYCDOT, Division of Sidewalks and Inspection Management, will identify the actual locations.","Replacement of Sidewalks that have violations for which property owners have received prior notices.
NYCDOT, Division of Sidewalks and Inspection Management, will identify the actual locations.",,,Transportation,Completed Project,Sidewalks,Standard,In-House,Standard Consultant,PIMS,FALSE,,,,,
HWS2013CW,HWS2013CW,Y,Infrastructure,MANHATTAN & CITYWIDE,PRIOR NOTICE SIDEWALKS -  CITYWIDE,"Replacement of sidewalks that have violations in which property owners have received prior notice, citywide.  Locations for prior notice sidewalks will be determined by NYC DOT Divison of Sidewalks and Inspections Managements.

This project is privately funded.

Chelmsford Contracting Co.","Replacement of sidewalks that have violations in which property owners have received prior notice, citywide.  Locations for prior notice sidewalks will be determined by NYC DOT Divison of Sidewalks and Inspections Managements.",Citywide,,Transportation,Substantial Completion,Sidewalks,Standard,In-House,Requirements TO,PIMS,FALSE,,,2014,,DDC
HWS2013M,HWS2013M,Y,Infrastructure,MANHATTAN & CITYWIDE,PRIOR NOTICE SIDEWALKS -  MANHATTAN,"Replacement of sidewalks that have violations in which property owners have received prior notice, Manhattan.  Locations for prior notice sidewalks will be determined by NYC DOT, Division of Sidewalks and Inspections Managements.

This project has $1,419,000 in city funding and $400,000 for construction in private funding.","Replacement of sidewalks that have violations in which property owners have received prior notice, Borough of Manhattan",Manhattan,,Transportation,Completed Project,Sidewalks,Standard,In-House,Standard Consultant,PIMS,FALSE,,2013,2014,,DDC
HWS2013Q,HWS2013Q,Y,Infrastructure,S. QUEENS,PRIOR NOTICE SIDEWALKS - QUEENS,"Replacement of sidewalks that have violations in which property owners have 
received prior notice. Locations for prior
notice sidewalks will be determined by New York City Department of Transportation, Division of Sidewalks and Inspections Management.","Replacement of sidewalks that have violations in which property owners have received prior notice. Locations for prior
notice sidewalks will be determined by New York City Department of Transportation, Division of Sidewalks and Inspections Management.",Queens,,Transportation,Completed Project,Sidewalks,Standard,In-House,Standard Consultant,PIMS,FALSE,,,2013,,DDC
HWS2013R,HWS2012R,Y,Infrastructure,STATEN ISLAND,PRIOR NOTICE SIDEWALKS - STATEN ISLAND,"Replacement of Sidewalks that have violations for which property owners have received prior notices.
NYCDOT, Division of Sidewalks and Inspection Management, will identify the actual locations.",Replacement of Sidewalks that have violations for which property owners have received prior notices.,,,Transportation,Completed Project,Sidewalks,Standard,In-House,Standard Consultant,PIMS,FALSE,,,,,
HWS2013R,HWS2013R,Y,Infrastructure,STATEN ISLAND,PRIOR NOTICE SIDEWALKS - STATEN ISLAND,"Replacement of Sidewalks that have violations for which property owners have received prior notices.
NYCDOT, Division of Sidewalks and Inspection Management, will identify the actual locations.",Replacement of Sidewalks that have violations for which property owners have received prior notices.,,,Transportation,Completed Project,Sidewalks,Standard,In-House,Standard Consultant,PIMS,FALSE,,,,,
HWS2014CW,HWS2014CW,Y,Infrastructure,MANHATTAN & CITYWIDE,PRIOR NOTICE SIDEWALKS -  CITYWIDE,"Replacement of Sidewalks that Have Violations and for Which Property Owners Have Received Prior Notice, Citywide",Prior Notice Sidewalks - Citywide,Citywide,,Transportation,Substantial Completion,Sidewalks,Standard,In-House,Requirements TO,PIMS,FALSE,,2014,2015,,DDC
HWS2014K,HWS2014K,Y,Infrastructure,BROOKLYN,PRIOR NOTICE SIDEWALKS -  BROOKLYN,"Installation of sidewalks, adjacent curbs and pedestrian ramps as necessary in various locations.

Replacement of Sidewalks that have violations for which property owner has received prior notice.","Installation of sidewalks, adjacent curbs and pedestrian ramps as necessary in various locations. Brooklyn",,,Transportation,Substantial Completion,Sidewalks,Standard,In-House,Requirements TO,PIMS,FALSE,,,,,
HWS2014M,HWS2014M,Y,Infrastructure,MANHATTAN & CITYWIDE,PRIOR NOTICE SIDEWALKS -  MANHATTAN,"Replacement of Sidewalks that Have Violations and for Which Property Owners Have Received Prior Notice, Manhattan",Replacement of Sidewalks with Prior Notice violation in Manhattan,Manhattan,,Transportation,Substantial Completion,Sidewalks,Standard,In-House,Requirements TO,PIMS,FALSE,,2013,2014,,DDC
HWS2014Q,HWS2014Q,Y,Infrastructure,S. QUEENS,PRIOR NOTICE SIDEWALKS - QUEENS,"Replacement of sidewalks that have violations for which property owners have received prior notice. Locations for prior notice sidewalks will be determined by New York City Department of Transportation, Division of Sidewalks and Inspections Management.","Replacement of sidewalks that have violations for which property owners have received prior notice. Locations for prior notice sidewalks will be determined by New York City Department of Transportation, Division of Sidewalks and Inspections Management.",Queens,,Transportation,Substantial Completion,Sidewalks,Standard,In-House,Standard Consultant,PIMS,FALSE,,2014,2015,,DDC
HWS2014R,HWS2014R,Y,Infrastructure,STATEN ISLAND,"PRIOR NOTICE SIDEWALKS, STATEN ISLAND","Replacement of Sidewalks that have violations for which property owners have received prior notices.
NYCDOT, Division of Sidewalks and Inspection Management, will identify the actual locations.",Replacement of Sidewalks that have violations for which property owners have received prior notices.,Staten Is.,,Transportation,Substantial Completion,Sidewalks,Standard,,,PIMS,FALSE,,2014,2014,,DDC
HWS2014X,HWS2014X,Y,Infrastructure,BRONX & N. QUEENS,PRIOR NOTICE SIDEWALKS -  BRONX,Replacement of Various locations of sidewalks in Bronx that have violation which property owners have received prior notice,Repair/replacement of sidewalks at various locations of Bronx with violations for which property owners have received prior notice.,Bronx,,Transportation,Substantial Completion,Sidewalks,Standard,In-House,DDC Managed Consultant,PIMS,FALSE,,2013,2014,,DDC
HWS2015CW,HWS2015CW,Y,Infrastructure,BROOKLYN,PRIOR NOTICE SIDEWALKS - CITYWIDE,PRIOR NOTICE SIDEWALKS - CITYWIDE,Prior Notice Sidewalks - Citywide,Brooklyn,,Transportation,Substantial Completion,Sidewalks,Critical,Requirements TO,Requirements TO,PIMS,FALSE,,2015,2015,,DDC
HWS2015K,HWS2015K,Y,Infrastructure,BROOKLYN,PRIOR NOTICE SIDEWALKS - BROOKLYN,PRIOR NOTICE SIDEWALKS - BROOKLYN,"Prior Notice Sidewalks, Brooklyn.",Brooklyn,,Transportation,Substantial Completion,Sidewalks,Critical,Requirements TO,Requirements TO,PIMS,FALSE,,2015,2015,,DDC
HWS2015M,HWS2015M,Y,Infrastructure,MANHATTAN & CITYWIDE,PRIOR NOTICE SIDEWALKS - MANHATTAN,PRIOR NOTICE SIDEWALKS - MANHATTAN,Prior Notice Sidewalks - Manhattan,Manhattan,,Transportation,Substantial Completion,Sidewalks,Critical,In-House,Requirements TO,PIMS,FALSE,,2015,2015,,DDC
HWS2015Q,HWS2015Q,Y,Infrastructure,S. QUEENS,PRIOR NOTICE SIDEWALKS - QUEENS,PRIOR NOTICE SIDEWALKS - QUEENS,,Queens,,Transportation,Substantial Completion,Sidewalks,Critical,,,PIMS,FALSE,,2015,2015,,DDC
HWS2015R,HWS2015R,Y,Infrastructure,STATEN ISLAND,PRIOR NOTICE SIDEWALKS - STATEN ISLAND,PRIOR NOTICE SIDEWALKS - STATEN ISLAND,PRIOR NOTICE SIDEWALKS - STATEN ISLAND,,,Transportation,Substantial Completion,Sidewalks,Standard,In-House,Requirements TO,PIMS,FALSE,,,,,
HWS2015X,HWS2015X,Y,Infrastructure,BRONX & N. QUEENS,PRIOR NOTICE SIDEWALKS - BRONX,PRIOR NOTICE SIDEWALKS - BRONX,PRIOR NOTICE SIDEWALKS - BRONX,Bronx,,Transportation,Substantial Completion,Sidewalks,Critical,,,PIMS,FALSE,,2014,2015,,DDC
HWS2016CW1,HWS2016CW,Y,Infrastructure,MANHATTAN & CITYWIDE,PRIOR NOTICE SIDEWALKS - CITYWIDE,PRIOR NOTICE SIDEWALKS - CITYWIDE (BROOKLYN & QUEENS),PRIOR NOTICE SIDEWALKS - CITYWIDE (BROOKLYN & QUEENS),,,Transportation,Cancelled Project,New Construction,Critical,In-House,,PIMS,FALSE,,,,,
HWS2016K1,HWS2016K1,Y,Infrastructure,BROOKLYN,PRIOR NOTICE SIDEWALKS - BROOKLYN,PRIOR NOTICE SIDEWALKS - BROOKLYN,PRIOR NOTICE SIDEWALKS - BROOKLYN,Brooklyn,,Transportation,Construction 0-25%,New Construction,Critical,Requirements TO,Requirements TO,PIMS,FALSE,,2015,2016,,DDC
HWS2016K2,HWS2016K2,Y,Infrastructure,BROOKLYN,PRIOR NOTICE SIDEWALKS - BROOKLYN,PRIOR NOTICE SIDEWALKS - BROOKLYN,PRIOR NOTICE SIDEWALKS - BROOKLYN,Brooklyn,,Transportation,Construction 0-25%,New Construction,Critical,Requirements TO,Requirements TO,PIMS,FALSE,,2015,2016,,DDC
